content,poster,follower,post_time,title
            终于鼓起勇气去检查呢，可惜医生刚好下午不在。这结果看不懂的我也感觉好不到哪里去，凝血因子vii基因突变分析报告单,阳光的BOIE,6,,今天去拿检查报告呢，有谁会看？
            刚刚开始玩，水平挺菜的，有没有愿意一起玩的呀，想想如果可以组个血友团队的话，其实也挺带感的,繼續Ⅱ努ㄌ,61,,吧里有没有玩lol的呀
            贴吧总算恢复平静了，现在应该恢复风波前的样子了。,前度刘郎现再来,15,,新主题贴：正气长存，演康加油！
            想加的请私信我。。。。。。,蚂蚁菜,51,,有朋友创建了血友创业群
            昨晚宝宝爸爸正式跟我提出离婚，说孩子有这个病都是我遗传的 他想重新找个生个健康的宝宝 让我原谅他的自私。好珍惜自己的小家，但是宝宝爸爸铁了心 很心痛 很难受！,血友新成员,49,,离婚吗？
            还有喉咙右上一点点肿了。,白色衬衫ANi,18,,舌头下有一大块瘀血
            ,淡泊福利,54,,输血冷陈定我都怕了，现在感染的几率大不大？
            我现在是在上高中，初中经常受伤没有考到好的高中，现在还是经常受伤，一不舒服就回家了，现在我哪里有点疼什么的我整个人都是慌的，老是缺课我该怎么办那？,人人都帮助,1,,你们上学阶段都是怎么度过的？
            ,爱婉婷啊,9,,有人因为血友病发起过轻松筹吗？可行吗？
            我是血友甲患者，因子2.3%，体重60公斤。病情还算稳定，不怎么打因子，但稍多走些路膝盖就可能累着出血。周末在家里家教，平时也不太外出，只走个一两百米路远近。,sankk658,9,,请教下病友们，我该如何预防治疗
            刚刚发现孩子的两个膝盖都有两块小手指盖的紫色淤青 下午还没有 右腿膝盖有点肿热 用手按了一下 他没有觉得疼痛 走路一切都很正常 有些不放心 来咨询您一下 他是中轻度的患者 现在23个月20天今年的2月3日在北京儿童医院吴润辉主任那确诊的 2月4日5日输过两天虫的因子 直到现在有过一次后脑勺磕碰出血 用了大夫给开的止血药止住了 没有出血 正常恢复 没有输因子 至今没有复查 这种情况怎么办 我们现在人在老家 吉林辽源 我们这的医院没有这个科室和药物 麻烦大家 有懂的告知一下 在此谢谢了,yijia金牛,0,,急需答案
            我现在也没有运动，也没有磕磕碰碰的，有的时候自己就出血了，以前就没有，这是咋回事啊，以前还稍微运动一下，现在不运动了，这正常吗？,人人都帮助,5,,有点疑问
            听说现在苏州有九因子了是嘛？,金永呈,0,,听说现在苏州有九因子了是嘛？
            会不会有什么副作用 ,错乱神经QAQ,21,,止血后这个外用药可不可以用
            ,我叫任等等,8,,我很好，努力让自己更好
            一楼放图,前度刘郎现再来,124,,开发新血管，等待新疗法
            今天才检查出来，儿子才九个多月，心疼，家族都没有过这种病，医生说他是甲乙两种都有，不知道是什么原因造成的，会不会有误诊,半面妆76,107,,血友病可怕么？
            你的心态，你的作为，决定你是什么样的人。而不是由疾病，他人，或者社会决定的。,兔兔小姐de夏天,40,,我是一名血友病携带者，可我始终觉得我是幸运的。
            我经常在夜晚中看到自己以往的种种那些欢乐的 悲伤的 无奈的事情，但是自己明白，无论自己经历过什么都要用最灿烂的微笑迎接明天！,你迷上了我L,1640,,奇迹…是努力的另一个名字！
            我外婆是血友遗传基因携带者，我舅舅是患者，我现在怀孕了，去做是否携带血友遗传基因，我外婆，舅舅，我妈，我爸，还有我的血液都抽了，交了6130元的检验费，今天医院给来电话，竟然说是检测不出来，也查不出是携带也查不出是不携带，我很是费解啊，为什么查不出呢，我爸说是不是因为没有塞红包给医生啊,yayahao6,106,,到上海瑞金医院做基因携带检测 医院给的结果是查不出结果 费解的
            血友之家和关涛大哥之前对这个药品目录修改的事准备了很长时间，对大家的困难也是考虑全面，才写出这么一个稿子，反映的内容应该说是考虑到了绝大多数血友的问题，也很清楚这次和人社部反映的目的和流程。意见稿写好，大家只需复制，粘贴到人社部网站，然后填上自己的真实姓名和电话以备回访就行了。就这么简单的事，然而：,精确导航李将军,15,,这次人社部征集修改药品目录意见的事，让我对血友们很失望。
            吊因子期间能喝茶叶茶吗？,y孤星赶月,8,,吊因子期间能喝茶叶茶吗？
            比如康斯平 我们这里买不到这种制剂 都用的是冷沉淀 病友们如果在其他省市可以购买到的 望提供个具体的地址 非常感谢,lljjjhgjg,2,,山西哪里可以购买凝血8因子生物制剂
            一般高度的梯级都下不了，只能一只脚一只脚地下,414220547,10,,膝盖关节间隙变窄怎么办
            睡眠不好,狮子利玛窦,15,,有服过安眠药的吧？多少片行
            我儿子现在两周岁了，五个月时因为脑出血住院才发现是血友病，我家没有遗传史。刚知道孩子是血友病时感觉天塌下来一样，整天以泪洗面，疯狂的上网查资料。偶然让我发现了血友病吧，在这个大家庭里我才不感到那么孤单，逐渐学着坚强，敢于面对这个病，我要用我的爱来呵护我的宝宝，让他幸福的成长。希望所有的血友爸妈坚强起来。,兰小妹987,143,,做血友妈妈的一点经验，分享给血友家长
            ,ldhvhj,1,,血友一枚，喜欢双节棍
            今天收到拜科奇的召回电话，说是让到郑州的指定药店去换药，我想问问大家，去换药我们的路费和误工费由谁来承担，我顺便问他们，他们说赔偿的事还不知道，我看新闻在中国一共召回3000多只，产品有问题是他们厂家的错误，想问问大家该怎么维权，谢谢了。,马qazqaz,7,,今天收到拜科奇召回的电话，请问有参加召回的吗，赔偿有知道的吗
            各位朋友们，干点什么过可以挣钱呢？并且我们可以干的了的！请多多指教，谢谢！,8快乐一族,6,,工作
            已经半个多月了，以前从来没有这么严重过。本来快消肿了，结果隔天又肿大了，现在就维持着半肿不消，肿块比较软但是一直没有好转，也疼。,头顶广告真碍眼,80,,膝关节出血，求助
            问一下贴吧里的大神们，无缘无故就尿血了是怎么回事 ，好长时间了，每次基本上是一输因子第二天就好了，这是什么引起的，求告知。,wq十六夜qw,19,,尿血
            以前腿瘸至少还能伸直，这一次发病到现在都50天了，一开始发病疼得我12天没睡觉。。。。现在还肿着但是关节却弯曲不到160度无法伸直，而且弯曲范围不到20度。已经不出血35天左右！没吃药没打因子。。是不是以后都这样了。。。。。,lgli7,14,,是不是废了
            乙型，医院有药了只是没报销，这报销政策该怎么跑啊，求告知,心中的纸风筝,24,,乙型，医院有药了只是没报销，这报销政策该怎么跑啊，求告知
            这两天大便呈黑色，接近红色，全身没有疼痛感，就是感觉胃有点胀，请大家帮帮我。。,笑容背后的杀意,8,,大家有过便血的情况吗？我该怎么解决，以前没遇到这种情况，求解
            之前发过问携带者基因检测的帖子，然后前段时间我去了北京的朝阳医院和北京协和医院，去朝阳医院是因为血友病之家有写到那里的检验科可以做基因检测，但是问题来了，两家医院说的不一样，因为患者本人无法行动，带血样检查，可是两家医院要求提供的采血管不一样啊，朝阳要求的是蓝色采血管，协和要求的是紫色采血管，我到底应该在哪家做啊。因为上海确实离我家远，有在上海做过的嘛，你们用的采血管是什么的。,啦啦啦可豆,5,,之前发过问携带者基因检测的帖子
            ,岩月之印,9,,啥情况？现在可以无理由删贴了？？
            安徽血友病26年，因子含量3.8，一直是保守治疗，哪里出血了去输一两只康斯平八因子，今天去看牙，说要拔牙，所以去看血内科，平时也很少去血内科，都是家里备药，哪里痛了，吊两天。医生说像我这样轻度的，可以重组药物预防治疗，每月定时输几次进口重组，可以像正常人样，先需要登记，去检测下抗体，制定方案后每月来医院拿药，定时输，可以报销一部分，现在不知道怎？因为这么多年来都是自己保护，出血了自己门口诊所输两只，这种治疗方式，不知道医生说的这种方法怎样，有没有哪位用过？费用会怎样？谢谢啦,热闹不归我,4,,应该怎么治疗？
            国家人社部就“国家药品目录”征求意见，之前全国11家血友病患者组织，联名向人社部递交建议，希望就“国家药品目录”中血友病相关治疗用药给予调整。,纤纤玉手能遮天,1,,大家务必来投票
            ,lalinly,14,,大家帮忙看看这样有什么办法恢复吗？
            左膝盖失去行走能力！过了春节！去协和医院置换关节！我想知道！置换以后！还会频道出血么？还会疼么？需要做康复训练么？走路和正常一样么？有了解的进来聊聊！,长期保湿,163,,过完年！就要去治疗膝关节了！有了解膝关节置换的！进来聊聊！
